date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2001-01-01,70,296,66,38,233,2,60,97,5,41,66,413,32
2001-01-02,66,143,68,2,118,0,65,175,2,35,4,221,9
2001-01-03,79,165,57,7,136,0,72,133,7,51,5,226,7
2001-01-04,57,173,55,2,133,2,87,142,3,55,1,243,9
2001-01-05,68,178,55,6,142,1,86,185,5,55,2,265,6
2001-01-06,67,237,64,4,156,4,76,166,3,54,9,247,19
2001-01-07,61,218,51,7,129,1,58,155,2,36,5,205,8
2001-01-08,67,192,53,3,104,0,62,161,3,44,6,244,5
2001-01-09,63,212,75,3,120,2,65,115,9,38,5,261,9
2001-01-10,88,199,71,1,113,2,62,145,7,41,5,255,5
2001-01-11,89,222,62,4,111,5,59,160,1,34,5,257,14
2001-01-12,78,239,69,5,150,1,53,152,10,45,8,290,16
2001-01-13,79,251,53,9,154,1,62,175,4,45,9,268,9
2001-01-14,72,249,44,5,134,2,59,128,2,45,4,208,8
2001-01-15,62,203,71,3,130,1,62,167,7,48,4,313,11
2001-01-16,58,219,65,8,124,3,58,149,7,56,10,270,14
2001-01-17,72,206,76,4,126,0,66,156,5,48,6,281,18
2001-01-18,69,232,69,9,115,1,77,161,5,55,2,255,14
2001-01-19,47,200,65,1,141,1,78,145,4,51,3,279,5
2001-01-20,53,239,53,3,143,2,77,153,7,51,4,243,14
2001-01-21,51,222,38,2,121,3,55,169,4,42,5,221,6
2001-01-22,64,181,65,1,99,1,66,156,3,43,5,259,8
2001-01-23,60,208,66,4,117,0,69,183,7,40,5,253,13
2001-01-24,67,181,53,3,87,0,70,142,4,38,5,243,8
2001-01-25,73,184,72,4,115,1,75,166,5,32,3,237,7
2001-01-26,77,206,77,5,151,0,73,168,6,54,10,236,14
2001-01-27,67,233,52,4,128,1,73,173,7,50,3,241,11
2001-01-28,61,217,60,2,116,1,74,99,5,50,8,179,9
2001-01-29,79,215,77,3,87,1,71,131,6,44,3,255,10
2001-01-30,65,210,62,6,124,2,63,160,10,41,1,254,14
2001-01-31,94,198,70,4,109,1,64,147,6,34,8,246,5
2001-02-01,79,205,70,11,115,1,54,144,4,43,7,314,6
2001-02-02,68,206,65,1,131,1,76,154,2,50,9,241,14
2001-02-03,63,199,59,1,122,1,75,186,7,45,3,224,8
2001-02-04,73,257,57,5,120,0,70,156,7,47,3,194,12
2001-02-05,92,219,78,4,147,1,65,166,5,42,5,261,11
2001-02-06,89,219,47,4,97,0,58,172,7,38,8,223,17
2001-02-07,85,182,62,7,110,0,54,185,11,33,7,265,16
2001-02-08,86,239,58,5,125,0,67,135,3,39,4,263,16
2001-02-09,63,211,68,5,162,4,65,171,3,45,4,272,10
2001-02-10,56,212,66,3,98,0,59,123,3,40,1,224,9
2001-02-11,49,221,39,10,133,2,58,102,5,45,4,233,11
2001-02-12,71,201,61,7,146,1,77,147,5,57,6,212,10
2001-02-13,83,211,61,3,125,0,59,177,7,36,11,252,7
2001-02-14,74,173,62,2,121,2,61,153,7,55,14,243,12
2001-02-15,80,222,54,4,149,2,71,170,5,40,6,239,16
2001-02-16,73,222,61,5,143,1,60,152,16,38,5,243,7
