date,ARSON,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,ATTEMPTED ROBBERY,BATTERY - SIMPLE ASSAULT,BATTERY ON A FIREFIGHTER,BATTERY POLICE (SIMPLE),BATTERY WITH SEXUAL CONTACT,BIKE - STOLEN,BOMB SCARE,BRANDISH WEAPON,BUNCO ATTEMPT,BUNCO GRAND THEFT,BUNCO PETTY THEFT,BURGLARY,BURGLARY FROM VEHICLE,BURGLARY FROM VEHICLE ATTEMPTED,BURGLARY ATTEMPTED,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,CHILD ANNOYING (17YRS & UNDER),CHILD NEGLECT (SEE 300 W.I.C.),CHILD PORNOGRAPHY,CHILD STEALING,CONTEMPT OF COURT,COUNTERFEIT,CREDIT CARDS FRAUD USE ($950.01 & OVER),CRIMINAL HOMICIDE,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),CRUELTY TO ANIMALS,DEFRAUDING INNKEEPER/THEFT OF SERVICES $950 & UNDER,DISCHARGE FIREARMS/SHOTS FIRED,DISTURBING THE PEACE,DOCUMENT FORGERY / STOLEN FELONY,DOCUMENT WORTHLESS ($200.01 & OVER),DRIVING WITHOUT OWNER CONSENT (DWOC),EMBEZZLEMENT GRAND THEFT ($950.01 & OVER),EMBEZZLEMENT PETTY THEFT ($950 & UNDER),EXTORTION,FAILURE TO YIELD,FALSE IMPRISONMENT,FALSE POLICE REPORT,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,ILLEGAL DUMPING,INDECENT EXPOSURE,INTIMATE PARTNER - AGGRAVATED ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT,KIDNAPPING,KIDNAPPING - GRAND ATTEMPT,LETTERS LEWD  -  TELEPHONE CALLS LEWD,LEWD CONDUCT,ORAL COPULATION,OTHER ASSAULT,OTHER MISCELLANEOUS CRIME,PANDERING,PEEPING TOM,PICKPOCKET,PIMPING,PROWLER,PURSE SNATCHING,RAPE ATTEMPTED,RAPE FORCIBLE,RECKLESS DRIVING,RESISTING ARREST,ROBBERY,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,SEXUNLAWFUL(INC MUTUAL CONSENT PENETRATION W/ FRGN OBJ,SEXUAL PENETRATION W/FOREIGN OBJECT,SHOPLIFTING - PETTY THEFT ($950 & UNDER),SHOPLIFTING-GRAND THEFT ($950.01 & OVER),SHOTS FIRED AT INHABITED DWELLING,SHOTS FIRED AT MOVING VEHICLE TRAIN OR AIRCRAFT,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,STALKING,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT OF IDENTITY,THEFT PLAIN - ATTEMPT,THEFT PLAIN - PETTY ($950 & UNDER),THEFT PERSON,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,THREATENING PHONE CALLS/LETTERS,THROWING OBJECT AT MOVING VEHICLE,TRESPASSING,UNAUTHORIZED COMPUTER ACCESS,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),VANDALISM - MISDEAMEANOR ($399 OR UNDER),VEHICLE - ATTEMPT STOLEN,VEHICLE - STOLEN,VEHICLE STOLEN - OTHER (MOTORIZED SCOOTERS BIKES ETC),VIOLATION OF COURT ORDER,VIOLATION OF RESTRAINING ORDER,VIOLATION OF TEMPORARY RESTRAINING ORDER
2010-01-01,0,0,39,5,110,0,1,35,0,0,1,0,3,1,42,69,0,5,5,28,31,19,0,0,0,0,0,4,20,221,1,1,4,2,8,0,0,15,0,1,0,0,1,1,0,1,4,62,1,0,33,0,27,1,13,0,0,0,5,1,0,6,60,1,2,31,0,35,25,3,1,1,0,15,2,0,3,32,1040,0,28,3,85,5,0,4,0,32,43,1,54,0,13,2,0
2010-01-02,2,0,23,3,70,0,0,4,0,0,1,1,1,0,34,36,1,1,0,1,0,0,0,0,0,2,0,1,19,2,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,1,0,26,0,0,4,0,0,0,7,0,0,0,0,0,0,2,0,0,2,28,0,0,0,15,1,1,0,1,0,0,10,16,31,0,20,2,29,1,0,3,0,26,31,0,48,0,11,4,0
2010-01-03,0,0,29,3,58,0,1,1,1,0,6,0,0,0,36,44,0,5,1,2,1,2,0,0,0,0,0,1,28,0,0,4,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,34,1,0,2,0,0,0,2,0,0,0,0,1,1,2,0,0,0,20,0,2,0,10,0,0,0,0,0,1,7,13,20,0,29,5,28,0,0,4,0,28,31,0,49,0,8,6,0
2010-01-04,1,0,14,0,48,0,0,3,1,1,1,1,1,0,46,48,1,4,1,0,2,3,0,0,0,0,0,2,17,2,0,0,0,1,10,0,0,1,0,0,0,1,0,0,0,1,0,24,0,0,7,0,2,0,10,0,0,0,0,1,2,0,1,0,0,34,0,1,1,6,0,1,0,0,0,0,6,27,42,2,34,2,32,1,0,5,0,27,27,1,43,0,4,3,0
2010-01-05,1,0,16,3,38,0,0,0,0,0,2,0,1,1,58,41,0,2,0,2,0,0,0,1,0,0,0,1,20,2,1,0,2,3,15,0,0,2,0,0,0,0,2,0,0,1,1,30,0,0,9,0,1,0,9,0,1,0,0,0,0,0,1,0,0,21,0,3,0,3,2,1,0,0,1,0,10,9,39,0,34,1,32,3,0,4,0,23,29,1,53,0,6,4,0
2010-01-06,2,2,20,1,53,0,2,3,0,0,4,1,0,0,56,56,0,3,1,0,0,2,0,0,0,1,0,0,19,2,1,1,0,1,9,0,0,2,0,0,0,1,0,0,0,0,0,24,0,0,4,0,0,0,10,0,0,0,0,0,0,2,0,0,2,28,0,1,0,11,3,2,0,0,0,1,11,11,19,0,26,1,27,1,0,2,0,26,23,2,37,0,11,3,0
2010-01-07,0,0,20,3,43,0,1,3,0,1,0,0,1,0,63,60,1,6,0,2,1,2,0,1,0,1,0,1,16,3,1,2,0,1,7,0,0,0,0,0,0,3,0,0,0,1,0,23,0,0,6,0,0,0,11,0,0,0,0,0,1,1,1,0,0,22,0,1,0,8,1,1,0,0,1,0,5,28,36,0,29,0,23,1,1,1,1,30,24,1,37,0,4,7,0
2010-01-08,2,0,21,6,56,0,1,3,0,0,3,0,2,0,50,43,1,3,0,3,2,1,0,0,0,1,0,1,21,0,1,0,3,0,10,0,1,1,1,0,0,1,0,0,0,1,0,21,2,0,5,0,1,0,11,0,0,0,0,0,1,0,5,0,0,31,0,2,0,8,2,0,0,0,0,0,7,26,30,1,40,5,31,3,0,5,0,33,23,0,50,0,19,3,0
2010-01-09,2,0,34,8,59,1,0,4,2,0,2,0,0,0,37,54,1,0,1,0,2,5,0,0,0,0,0,0,18,6,1,0,1,1,8,0,0,2,0,0,0,1,0,0,1,0,0,44,0,0,2,1,0,0,16,0,1,0,0,0,0,0,3,0,1,25,0,1,2,11,1,1,0,0,1,0,8,20,23,1,38,1,31,1,0,8,0,36,43,3,44,0,8,2,0
2010-01-10,1,0,27,6,69,0,0,6,0,1,3,0,0,0,38,67,0,0,0,1,2,0,0,1,0,0,0,1,19,8,1,0,3,2,9,0,0,3,0,0,0,0,0,0,1,1,0,26,1,0,8,0,0,0,12,0,1,0,1,0,1,0,7,0,0,29,0,2,0,5,3,0,0,0,0,2,5,24,43,0,30,3,31,1,1,3,0,24,22,1,45,0,10,7,0
