date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-01-01,11,36,98,1,4,22,34,31,1,3,3,1,1,0,20,15,3,70,2,0,3,4,0,11,11,37,54,0,98,9
2006-01-02,8,11,152,4,11,26,12,3,4,1,8,0,1,1,27,32,0,68,4,0,1,3,0,15,11,42,43,2,57,3
2006-01-03,7,9,129,0,12,29,6,7,2,4,29,0,5,0,37,41,0,73,6,1,1,2,0,28,19,33,59,2,49,6
2006-01-04,5,15,138,1,7,25,9,13,2,3,35,0,0,0,21,57,0,91,6,5,1,6,0,13,15,48,82,3,52,9
2006-01-05,5,8,135,4,0,15,9,14,0,1,21,2,2,0,13,52,0,75,11,4,2,4,0,10,14,41,52,3,48,7
2006-01-06,9,9,104,4,7,16,11,13,0,5,32,0,0,1,20,36,1,77,5,3,0,3,0,10,20,36,63,2,64,7
2006-01-07,8,19,159,2,4,15,20,8,1,2,23,0,2,2,11,36,0,61,4,0,1,3,1,17,16,45,57,3,55,6
2006-01-08,6,8,216,1,5,20,22,12,0,2,7,0,0,1,14,23,0,71,2,0,0,3,0,20,12,46,38,1,73,4
2006-01-09,10,16,123,1,8,27,9,9,0,2,37,1,1,0,28,29,0,74,5,0,0,2,1,19,28,54,56,0,69,14
2006-01-10,15,14,123,1,26,25,13,6,2,1,31,0,0,0,22,58,3,63,3,8,1,2,3,11,8,47,49,4,50,10
2006-01-11,7,7,152,0,8,20,12,9,2,1,32,0,1,0,16,47,1,80,4,8,0,3,2,6,21,56,63,2,50,9
2006-01-12,8,10,164,3,6,32,15,20,3,2,34,1,0,0,20,58,1,69,5,7,1,3,0,14,18,43,65,1,45,8
2006-01-13,7,20,73,3,7,27,12,15,2,6,30,0,0,0,19,34,0,95,9,7,1,4,0,12,15,33,49,0,67,7
2006-01-14,10,23,134,0,9,21,15,15,1,1,24,0,2,1,33,24,0,52,1,0,0,3,0,16,16,37,40,3,56,8
2006-01-15,12,17,123,2,5,15,16,10,0,0,6,0,0,1,19,17,1,53,0,0,1,1,0,16,11,25,33,3,64,1
2006-01-16,11,10,224,1,15,18,9,6,1,2,17,0,1,0,23,22,0,48,8,0,2,0,1,14,17,54,62,1,60,2
