date,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FORGERY/COUNTERFEITING,FRAUD,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSES FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
2003-01-01,1,80,2,0,14,3,2,29,6,7,1,16,23,2,72,0,1,11,58,88,6,0,10,6,4,1,0,35,4,28,31,31,3
2003-01-02,0,27,0,2,12,1,1,33,1,0,0,3,9,0,51,0,0,10,36,56,10,0,8,4,2,3,0,10,4,19,46,23,4
2003-01-03,0,30,0,0,28,5,0,26,1,1,0,8,9,0,65,0,0,8,29,77,14,0,13,6,0,2,0,11,6,18,21,31,5
2003-01-04,0,29,0,0,15,2,1,31,0,0,0,2,6,1,53,2,0,5,21,51,1,0,8,4,3,3,1,9,4,9,46,18,0
2003-01-05,2,38,0,0,7,2,4,31,3,0,0,4,8,1,54,0,1,7,20,40,1,0,13,4,1,3,0,11,1,24,48,27,8
2003-01-06,0,28,1,0,16,0,0,35,0,1,0,5,4,0,67,0,0,9,18,76,10,0,5,1,1,3,0,12,5,18,43,22,4
2003-01-07,0,43,0,0,10,2,0,36,3,0,0,3,5,2,50,0,0,4,30,69,6,0,7,3,1,3,0,13,7,19,34,37,4
2003-01-08,1,35,0,0,24,12,1,48,4,2,0,4,10,0,74,0,1,12,34,108,11,0,11,2,1,2,0,8,4,21,38,37,2
2003-01-09,0,26,2,0,18,2,1,30,0,2,0,3,9,0,63,0,0,3,23,63,10,0,11,2,2,2,0,9,4,22,33,49,4
2003-01-10,1,32,1,0,19,2,2,32,4,0,0,6,10,0,71,0,0,2,17,64,0,0,6,5,1,2,0,13,2,17,39,21,4
2003-01-11,0,31,0,0,14,1,3,33,3,0,0,1,8,1,50,0,0,7,23,51,1,0,10,3,1,2,0,9,1,17,39,28,2
2003-01-12,1,16,0,0,17,0,0,22,4,1,0,1,6,0,65,0,1,5,29,43,0,0,12,2,1,0,0,7,2,20,26,21,1
