crime_type,trigger,lag,trigger_family_class,epoch,k_cities,g_meta,ci_lo,ci_hi,se_hk,p_meta,tau2,Q,p_Q,I2,cities
ASSAULT,PHASE_FirstQ,-1,PHASE,PRE,2,0.04189593246818529,-0.593309368523961,0.6771012334603315,0.04999174137111472,0.5559452382649663,0.0,0.041068483347751886,0.8394057890020007,0.0,chicago;sf
ASSAULT,PHASE_FirstQ,0,PHASE,PRE,2,0.0014014429030565503,-0.6337898754936777,0.6365927612997908,0.04999064091698999,0.9821576073167768,0.0,0.05305548707109254,0.8178293153687839,0.0,chicago;sf
ASSAULT,PHASE_FirstQ,1,PHASE,PRE,2,0.016605116649492123,-0.618591957091286,0.6518021903902703,0.0499910938723896,0.7958388831044828,0.0,0.22750671329073252,0.6333787574269336,0.0,chicago;sf
ASSAULT,PHASE_FirstQ,WIN3,PHASE,PRE,2,0.01996511731544533,-0.3660688772961279,0.40599911192701854,0.030381534267640932,0.6298802833665559,0.0,0.06065598367298503,0.8054621196836098,0.0,chicago;sf
ASSAULT,PHASE_FirstQ,-1,PHASE,PRE2014,2,0.031635222128695954,-0.6953505846389954,0.7586210288963873,0.05721502382873055,0.678455555709463,0.0,0.13563583847885752,0.7126587143748949,0.0,chicago;sf
ASSAULT,PHASE_FirstQ,0,PHASE,PRE2014,2,0.0031424193278794025,-0.723830018898267,0.7301148575540258,0.057213971701693234,0.9650694013078223,0.0,0.0005611015445558304,0.981101811296678,0.0,chicago;sf
ASSAULT,PHASE_FirstQ,1,PHASE,PRE2014,2,0.005747823742608347,-0.7212532739885567,0.7327489214737732,0.0572162272536549,0.9362603374683005,0.0,0.9323095110367243,0.33426351830265877,0.0,chicago;sf
ASSAULT,PHASE_FirstQ,WIN3,PHASE,PRE2014,2,0.013572184847365023,-0.4283259412298746,0.4554703109246046,0.03477813676417469,0.7631306695997,0.0,0.5538053642275489,0.45676697963164625,0.0,chicago;sf
ASSAULT,PHASE_Full,-1,PHASE,PRE,2,0.013369656711697389,-1.0203984128154855,1.0471377262388804,0.08135931153093202,0.8963119026800381,0.008180897273709905,2.6080729600951096,0.1063208889768508,61.657514367867506,chicago;sf
ASSAULT,PHASE_Full,0,PHASE,PRE,2,0.06293932661755793,-1.0979973493488653,1.2238760025839812,0.09136769791200566,0.6159854876297657,0.011631414815415615,3.285915420454858,0.06987665171342161,69.56708034007846,chicago;sf
ASSAULT,PHASE_Full,1,PHASE,PRE,2,0.030642462296052123,-0.6052796585330984,0.6665645831252027,0.050048156315771565,0.6502505501489582,0.0,0.62775966345754,0.42817827676872544,0.0,chicago;sf
ASSAULT,PHASE_Full,WIN3,PHASE,PRE,2,0.038109908635080535,-0.8635519710487931,0.9397717883189542,0.07096232890837713,0.6862470555477845,0.00819760353291678,5.362672690280689,0.020572221956471185,81.35258186067554,chicago;sf
ASSAULT,PHASE_Full,-1,PHASE,PRE2014,2,0.03153615229384743,-1.143062520999203,1.206134825586898,0.09244292042022283,0.7907037929378073,0.010479690008157065,2.5812881837033803,0.10813362934868956,61.25965297817706,chicago;sf
ASSAULT,PHASE_Full,0,PHASE,PRE2014,2,0.08310572544888989,-1.2376071798557118,1.4038186307534914,0.10394235987066724,0.5706264829291869,0.01499159991126442,3.2615579953464495,0.070921712973369,69.33980626967886,chicago;sf
ASSAULT,PHASE_Full,1,PHASE,PRE2014,2,0.020892601025343495,-0.7082371159154317,0.7500223179661187,0.0573837532186275,0.7777128999322129,0.0,0.47478467172102423,0.49079419177025485,0.0,chicago;sf
ASSAULT,PHASE_Full,WIN3,PHASE,PRE2014,2,0.046869818023354,-0.9541505062891182,1.0478901423358262,0.07878200808792878,0.658336624613581,0.009968222051359926,5.072087849801793,0.024314081640176843,80.28425315939513,chicago;sf
ASSAULT,PHASE_LastQ,-1,PHASE,PRE,2,0.00563466624769163,-0.6302673836470313,0.6415367161424145,0.050046576698974575,0.9286245458721046,0.0,0.0005456347077067765,0.981364048886642,0.0,chicago;sf
ASSAULT,PHASE_LastQ,0,PHASE,PRE,2,0.027074000155510234,-0.6088392467237449,0.6629872470347653,0.050047457920768534,0.6843121667784207,0.0,0.27254792286874685,0.6016277026528619,0.0,chicago;sf
ASSAULT,PHASE_LastQ,1,PHASE,PRE,2,0.0021539772383135235,-0.8726313380176972,0.8769392924943243,0.06884709741436534,0.9800889594796424,0.004433996093006264,1.8716204749073455,0.17128959986176207,46.57036437638325,chicago;sf
ASSAULT,PHASE_LastQ,WIN3,PHASE,PRE,2,0.01285879839599157,-0.37356430671706015,0.3992819035090433,0.030412157928250052,0.7453388741826812,0.0,0.20491597881960094,0.6507817315002511,0.0,chicago;sf
ASSAULT,PHASE_LastQ,-1,PHASE,PRE2014,2,0.026463647315418695,-0.7026540006097179,0.7555812952405554,0.05738280336649707,0.7249102232408389,0.0,8.526541979456823e-05,0.992632496393722,0.0,chicago;sf
ASSAULT,PHASE_LastQ,0,PHASE,PRE2014,2,0.02596864131672663,-0.7031597530832768,0.75509703571673,0.05738364913241142,0.7294571447612589,0.0,0.3593844697928337,0.5488482840709031,0.0,chicago;sf
ASSAULT,PHASE_LastQ,1,PHASE,PRE2014,2,0.010695712643658354,-0.9221697615775075,0.9435611868648242,0.07341810505747562,0.9079036998120787,0.004178540911882489,1.6305810907923781,0.20162269437369107,38.67216996156556,chicago;sf
ASSAULT,PHASE_LastQ,WIN3,PHASE,PRE2014,2,0.021665408505845606,-0.4214027471799989,0.4647335641916901,0.03487022009140537,0.6460741632084428,0.0,0.1363948757640297,0.7118916279334329,0.0,chicago;sf
ASSAULT,PHASE_New,-1,PHASE,PRE,2,0.12986782336719527,-0.5134482539594128,0.7731839006938034,0.050630073312296665,0.2366527298114556,0.0001244405277299439,1.0245209360130612,0.3114490254970232,2.393405068761674,chicago;sf
ASSAULT,PHASE_New,0,PHASE,PRE,2,0.10200425751185942,-0.5332706343485043,0.737279149372223,0.04999721829122273,0.29013008505673543,0.0,0.009435279013524731,0.9226188969233481,0.0,chicago;sf
ASSAULT,PHASE_New,1,PHASE,PRE,2,-0.07625852445643855,-0.7115014963501084,0.5589844474372313,0.049994706135362194,0.36942941977606186,0.0,0.274602305433725,0.6002610821414636,0.0,chicago;sf
ASSAULT,PHASE_New,WIN3,PHASE,PRE,2,0.05142762752187161,-0.3346417196817359,0.43749697472547916,0.03038431657697465,0.3397257314898473,0.0,0.801023545383831,0.37078752238240176,0.0,chicago;sf
ASSAULT,PHASE_New,-1,PHASE,PRE2014,2,0.12600327372045905,-0.6021926162275558,0.8541991636684739,0.05731025944041985,0.2717504076733721,0.0,0.28158610037334664,0.5956635099708565,0.0,chicago;sf
ASSAULT,PHASE_New,0,PHASE,PRE2014,2,0.10552467158885451,-0.622627975060178,0.8336773182378869,0.05730685611898127,0.3167208718216854,0.0,0.3117659801508931,0.5765985258560992,0.0,chicago;sf
